,Methanobrevibacter,Methanosphaera,Methanomassiliicoccus,Actinomyces,Mobiluncus,Varibaculum,Brevibacterium,Corynebacterium,Brachybacterium,Dietzia,Leucobacter,Microbacterium,Micrococcus,Rothia,Mycobacterium,Bifidobacterium,Scardovia,Adlercreutzia,Asaccharobacter,Atopobium,Collinsella,Cryptobacterium,Eggerthella,Gordonibacter,Olsenella,Paraeggerthella,Senegalemassilia,Slackia,Coriobacteriaceae.unclassified,Bacteroides,X.Barnesiella.unclassified.,Barnesiella,Butyricimonas,Odoribacter,Parabacteroides,Porphyromonas,Porphyromonadaceae.unclassified,Paraprevotella,Prevotella,Prevotellaceae.unclassified,Alistipes,X.Prevotella.,Bacteroidales.unclassified.unclassified,Chryseobacterium,Wautersiella,Cloacibacterium,X.Melainabacter.,X.Bacilli.Clostridia..unclassified.unclassified.unclassified,Bacillus,Geobacillus,Brochothrix,Staphylococcus,Gemella,Abiotrophia,Granulicatella,Enterococcus,Tetragenococcus,Lactobacillus,Pediococcus,Leuconostoc,Weissella,Lactococcus,Streptococcus,X.Clostridiaceae.Eubacteriaceae..unclassified,X.Clostridiaceae.Ruminococcaceae..unclassified,X.Clostridiaceae.unclassified..unclassified,X.Eubacteriaceae.Lachnospiraceae..unclassified,X.Lachnospiraceae.unclassified..unclassified,X.Oscillospiraceae.Ruminococcaceae..unclassified,X.Ruminococcaceae.unclassified..unclassified,Catabacter,Christensenella,Christensenellaceae.unclassified,Butyricicoccus,Clostridium,Sarcina,Clostridiaceae.unclassified,X.Finegoldia.Unclassified_Tissierellaceae.,Anaerococcus,Parvimonas,Peptoniphilus,Mogibacterium,Dehalobacterium,Anaerofustis,Eubacterium,Pseudoramibacter,X.Blautia.Roseburia.,X.Blautia.unclassified.,X.Lachnoclostridium.unclassified.,Anaerostipes,Anoxystipes,Blautia,Butyrivibrio,Cellulosilyticum,Coprococcus,Dorea,Hespellia,Lachnoanaerobaculum,Lachnoclostridium,Lachnospira,Lactonifactor,Marvinbryantia,Oribacterium,Parasporobacterium,Pseudobutyrivibrio,Robinsoniella,Roseburia,Tyzzerella,X.Ruminococcus.,Lachnospiraceae.unclassified,Oscillibacter,Peptococcus,Asaccharospora,Intestinibacter,Paeniclostridium,Peptoclostridium,Peptostreptococcaceae,Peptostreptococcus,Romboutsia,Terrisporobacter,Peptostreptococcaceae.unclassified,X.Candidatus_Soleaferrea.unclassified.,X.Faecalibacterium.Gemmiger.,X.Faecalibacterium.unclassified.,X.Gemmiger.unclassified.,X.Ruminococcus.unclassified.,Anaerofilum,Anaerotruncus,Candidatus_Soleaferrea,Faecalibacterium,Gemmiger,Intestinimonas,Oscillospira,Papillibacter,Ruminococcus,Subdoligranulum,Ruminococcaceae.unclassified,Howardella,X.Bacteroides.,X.Mogibacteriaceae..unclassified,Clostridiales.unclassified.unclassified,Absiella,Bulleidia,Candidatus_Stoquefichus,Catenibacterium,Dielma,Eggerthia,Erysipelatoclostridium,Faecalicoccus,Faecalitalea,Holdemanella,Holdemania,RFN20,Solobacterium,Turicibacter,cc_115,p.75.a5,Erysipelotrichaceae.unclassified,Acidaminococcus,Phascolarctobacterium,Selenomonadales.unclassified.unclassified,Allisonella,Anaerovibrio,Dialister,Megamonas,Megasphaera,Mitsuokella,Veillonella,Firmicutes.unclassified.unclassified.unclassified.unclassified,Fusobacterium,Leptotrichia,Sneathia,Victivallis,Brevundimonas,Phenylobacterium,RF32.unclassified.unclassified,Bradyrhizobium,Methylobacterium,Agrobacterium,Paracoccus,Blastomonas,Sphingomonas,Achromobacter,Lautropia,X.Diaphorobacter.Hylemonella.,Comamonas,Pelomonas,Variovorax,Herbaspirillum,Massilia,Oxalobacter,Oxalobacteraceae.unclassified,Parasutterella,Sutterella,Sutterellaceae.unclassified,Eikenella,Neisseria,Bilophila,Desulfovibrio,Desulfovibrionaceae.unclassified,Campylobacter,Helicobacter,Aeromonas,Succinatimonas,Succinivibrio,Cardiobacterium,X.Averyella.Citrobacter.Enterobacter.Kluyvera.,X.Citrobacter.Raoultella.,X.Erwinia.unclassified.,X.Escherichia.Hafnia.,X.Gluconacetobacter.Yersinia.,X.Shigella.unclassified.,Cedecea,Citrobacter,Cronobacter,Enterobacter,Erwinia,Escherichia,Leminorella,Moellerella,Morganella,Proteus,Providencia,Raoultella,Salmonella,Serratia,Trabulsiella,Yersinia,Yokenella,Enterobacteriaceae.unclassified,X.Haemophilus.unclassified.,Aggregatibacter,Haemophilus,Pasteurellaceae.unclassified,Acinetobacter,Moraxella,Pseudomonas,Vibrio,Stenotrophomonas,Cloacibacillus,Pyramidobacter,Mycoplasma,Unclassified.unclassified.unclassified.unclassified.unclassified,Akkermansia
SRR6463032,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,403,0,21558,0,0,0,0,140,0,0,0,1027,194,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,22,0,0,5963,0,5570,0,5286,0,0,7,2004,0,0,1033,0,0,0,0,0,0,0,245,0,12,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3015,0,31,0,0,0,5,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,491,0,0,0,4456,0,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,524,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530
SRR6463037,0,0,0,6,0,0,0,1,0,0,0,0,0,2,0,16,0,0,0,1,0,0,4,0,0,0,0,0,0,19291,0,404,189,135,0,0,0,0,207,1,4298,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,0,2754,0,0,0,0,748,0,0,0,9,1,0,0,0,0,0,0,329,0,0,0,0,0,11,5,0,0,69,0,0,413,358,319,5,6234,0,0,0,1361,0,0,5950,2,1,0,2,0,0,0,2,286,149,1368,1,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,65,0,996,0,0,0,0,16,0,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,1,5715,86,0,0,6,0,0,0,0,0,11,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,560,0,0,832,0,0,6,0,0,0,0,0,2,0,0,0,0,7083,0,33,0,0,0,3,0,0,4,8,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,116,0,46,0
SRR6463054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9307,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,47,0,0,0,4,46,0,0,0,299,10,0,0,0,0,0,0,40,0,0,0,3,0,1,0,0,0,163,0,0,1901,0,0,3,600,0,0,201,733,0,0,427,0,1,0,0,0,0,0,689,255,0,528,161,0,0,8,0,0,0,2,0,0,0,0,0,1387,0,0,0,0,0,122,0,1,175,0,352,0,69,0,0,2,39,0,0,12,0,1,0,28,0,0,0,3,0,0,0,0,0,348,88,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10320
SRR6463059,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,24554,0,0,0,0,0,0,0,0,0,0,5273,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,35,0,0,0,0,32,0,0,0,1400,74,0,0,0,2,0,0,80,0,0,0,0,0,0,0,0,0,421,0,0,2448,0,112,2,1927,0,0,139,1025,0,0,1391,0,12,5,0,0,0,0,3214,400,4,2022,62,0,0,32,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,4,2,125,0,1824,0,82,0,0,5,913,18,0,0,0,3,0,6,0,0,0,4,0,0,0,0,0,323,0,0,0,0,0,1097,0,0,0,1,0,1,0,0,3,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,384,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9453
SRR6463099,0,0,0,4,0,0,0,1,0,0,0,0,0,6,0,138,0,0,0,2,1,0,0,0,0,0,0,0,0,25936,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,0,0,0,3,4,0,11,0,0,84,0,1,0,0,483,0,0,0,5,1,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,9,0,0,4359,0,10,0,10218,0,0,2,1047,0,0,981,0,9,0,2,0,0,0,4,1,0,21,1,0,0,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,81,0,10,0,0,1,2,0,0,0,0,0,0,39,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1802,0,2,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6463102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2847,0,0,0,0,0,0,2,1,0,0,0,0,0,32228,0,416,115,59,237,0,0,0,9,0,5227,207,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,49,0,0,1,131,5,0,0,5,0,0,0,31,0,0,0,0,0,0,0,1,0,477,0,0,839,149,1,2,172,0,0,93,358,0,0,898,0,0,0,0,0,0,0,16,396,1,1688,277,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,34,0,3,1,0,259,0,158,0,79,0,0,0,5,0,0,0,0,3,0,361,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1696,0,0,0,68,0,4449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3
SRR6463141,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,44,0,0,0,0,75,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,15,1,17,74,0,0,0,0,0,0,57,0,0,0,1,1,0,0,0,0,0,0,45,0,0,0,0,7,0,2,0,0,2,0,0,2,0,0,0,19084,0,0,0,1692,0,0,133,0,2,0,0,0,0,0,2,22,7,69,0,0,0,326,0,0,0,0,0,81,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,19,0,0,0,1,2,0,0,0,0,0,1548,0,0,0,0,0,5,7,0,0,88,0,0,0,0,0,1,0,2,0,11,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,1,0,0,0,12085,0,62,0,0,0,13,0,0,37,6,0,13,0,7,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
SRR6463142,0,0,0,27,0,0,0,5,0,0,0,0,0,2,0,142,1,17,0,6,0,0,3,6,0,0,0,0,157,197,0,21,0,1,35,0,0,6,100,0,11,0,0,0,0,0,1,0,0,0,0,0,25,0,18,7,0,17,0,0,0,0,1422,0,0,0,0,4742,0,0,0,1,0,0,120,0,0,1,0,1,0,5,0,3,5422,0,0,11977,0,0,3,1720,0,0,845,8953,0,0,1753,0,17,0,4,0,0,0,2,125,23,846,15,0,0,1,0,0,0,2,0,0,1,0,0,1325,0,0,0,5,0,180,13,0,42,0,781,11,3481,0,0,5,958,0,0,0,0,0,0,1204,0,0,0,4,0,3,0,0,0,0,0,931,0,381,0,40,0,0,0,0,0,115,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,24,0,0,46,0,7,0,0,0,0,0,0,1,0,0,0,0,9269,0,27,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
SRR6463160,21,0,0,41,0,0,0,1,0,0,0,0,0,0,0,422,1,0,0,5,22,0,0,1,0,0,7,7,11,11549,0,0,28,9,306,0,0,135,13,0,156,0,0,0,0,0,0,0,0,0,0,0,8,1,16,2,0,22,0,80,0,0,311,0,0,1,4,4,1,1,3,13,7,0,310,0,0,0,0,2,2,5,1,4,160,0,0,4818,3,6,9,6333,0,0,16,2344,0,0,4026,0,9,0,0,0,0,0,0,231,5,393,82,0,0,218,0,0,0,3,0,42,27,0,1,7,2,0,1,5,0,1504,0,0,690,0,221,0,97,0,0,2,15,0,0,0,0,16,0,2846,0,0,0,21,0,3,0,0,0,2,0,930,0,0,0,3,0,0,0,0,1,521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,174,0,0,0,504,1018,8,0,0,0,0,0,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,66
SRR6463161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,15323,0,37,33,57,450,0,2,174,943,0,1038,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,49,69,6,0,0,4,5,0,10,0,0,0,0,0,0,60,0,0,84,0,0,455,106,5,0,769,0,3,104,160,0,0,390,0,0,0,1,0,0,0,600,335,3,214,979,21,0,0,0,0,0,0,0,0,1,0,63,5,0,0,0,6,0,6,0,0,100,0,4035,17,1016,0,0,18,21,0,0,48,0,0,0,4,0,0,428,22,0,0,0,0,0,51,0,321,0,0,0,1,0,0,0,0,0,17621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,10,138,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,323
