# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
acnA	b1276	b1276	protein_coding	0	0	1	0	0	1	0	0	0
aes	b0476	b0476	protein_coding	0	0	0	1	0	0	0	0	1
alaA	b2290	b2290	protein_coding	0	0	0	1	0	0	0	0	1
araA	b0062	b0062	protein_coding	0	0	0	4	0	0	0	0	4
araB	b0063	b0063	protein_coding	0	0	0	4	0	0	0	0	4
araC	b0064	b0064	protein_coding	0	0	0	4	0	0	0	0	4
araD	b0061	b0061	protein_coding	0	0	0	4	0	0	0	0	4
argB	b3959	b3959	protein_coding	0	0	0	1	1	0	0	0	0
argH	b3960	b3960	protein_coding	0	0	0	1	1	0	0	0	0
argI	b4254	b4254	protein_coding	0	0	0	1	1	0	0	0	0
ascB	b2716	b2716	protein_coding	0	0	0	1	1	0	0	0	0
ascF	b2715	b2715	protein_coding	0	0	0	1	1	0	0	0	0
ascG	b2714	b2714	protein_coding	0	0	0	1	0	0	0	0	1
bdcA	b4249	b4249	protein_coding	0	0	0	1	0	0	0	0	1
bdcR	b4251	b4251	protein_coding	0	0	0	1	1	0	0	0	0
bglJ	b4366	b4366	protein_coding	0	0	0	1	0	0	0	0	1
btsT	b4354	b4354	protein_coding	0	0	0	1	1	0	0	0	0
btuB	b3966	b3966	protein_coding	0	0	1	1	0	1	0	0	1
chiP	b0681	b0681	protein_coding	0	0	0	1	0	0	0	0	1
chiQ	b0682	b0682	protein_coding	0	0	0	1	0	0	0	0	1
curA	b1449	b1449	protein_coding	0	0	0	1	0	0	0	0	1
cysB	b1275	b1275	protein_coding	0	0	0	1	1	0	0	0	0
deoA	b4382	b4382	protein_coding	0	0	0	1	0	0	0	0	1
deoB	b4383	b4383	protein_coding	0	0	0	1	0	0	0	0	1
